,sit,correct
0,ham,Go until wrong point crazy Available only in bugs n great world la e buffet Cine there got more wat
1,ham,of lar Joking if u on
2,spam,Free entry in 2 a wily come to win FA Cup final tits just May 2005 Text FA to 87121 to receive entry questions text rates apply 08452810075over18s
3,ham,U dun say so early for U c already then say
4,ham,Nah I don't think he goes to us he lives around here though
5,spam,freeing Hey there darling its been 3 weeks now and no word back Id like some fun you up for it still to of six sad cogs to send £150 to rev
6,ham,Even my brother is not like to speak with me They treat me like aids patent
7,ham,As per your request belle belle or Minnaminunginte Nurungu vetted has been set as your callertune for all Callers Press 9 to copy your friends Callertune
8,spam,WINNER As a valued network customer you have been selected to received £900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hours only
9,spam,Had your mobile 11 months or more U R entitled to Update to the latest color mobiles with camera for Free Call The Mobile Update to FREE on 08002986030
10,ham,i gonna be home soon and i don't want to talk about this stuff anymore tonight k give cried enough today
11,spam,SIX chances to win CASH From 100 to 20000 pounds text CSH11 and send to 87575 Cost 150pday days 16 stands apply Reply HL 4 info
12,spam,URGENT You have won a 1 week FREE membership in our £100000 Prize Jackpot text the word CLAIM to No 81010 to wwwdbuknet LCCLTD poor 4403LDNW1A7RW18
13,ham,give been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times
14,ham,I HAVE A DATE ON sundae WITH WILL
15,spam,XXXMobileMovieClub To use your credit click the was link in the next text message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL
16,ham,Oh him watching here
17,ham,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet
18,ham,Fine if that's the way u feel that's the way its got b
19,spam,inland v Macedonia don't miss the goalsteam news text up national team to 87077 beg inland to 87077 TryWALES SCOTLAND 4txtú120 POBOXox36504W45WQ 16
20,ham,Is that seriously how you spell his name
21,ham,ism going to try for 2 months ha ha only joking
22,ham,So i pay first lar Then when is a stock coming
23,ham,Aft i finish my lunch then i go star down for and 3 smith for U finish up lunch already
24,ham,Ffffffffff Alright no way I can meet up with you sooner
25,ham,Just forced myself to eat a slice i really not hungry tho This sucks Mark is getting worried He knows i sick when I turn down pizza lot
26,ham,lot your always so convincing
27,ham,Did you catch the bus Are you frying an egg Did you make a tea Are you eating your moms left over dinner Do you feel my Love
28,ham,i back amp were packing the car now Ill let you know if there room
29,ham,ah Work I vaguely remember that What does it feel like lot
30,ham,Wait that still not all that clear were you not sure about me being sarcastic or that that why x doesn't want to live with us
31,ham,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You
32,ham,K tell me anything about you
33,ham,For fear of fainting with the of all that housework you just did Quick have a cuppa
34,spam,Thanks for your subscription to intone up your mobile will be charged month Please confirm by replying YES or NO If you reply NO you will not be charged
35,ham,Yup of i go home look at the timings then i mug i again Xuhui going to learn on and may too but her lesson is at am
36,ham,Oops Ill let you know when my roommates done
37,ham,I see the letter B on my car
38,ham,Anything for U decide
39,ham,Hello Hows you and how did sturdy go I was just testing to see if you decided to do anything too Not that i trying to invite myself or anything
40,ham,plus go ahead with watts I just wanted to be sure Do have a great weekend viola
41,ham,Did I forget to tell you I want you I need you I crave you But most of all I love you my sweet agrarian steed Mmmmmm Yummy
42,spam,07732584351 roger Burns mug We tried to call you re your reply to our sums for a free noria mobile free camcorder Please call now 08000930705 for delivery tomorrow
43,ham,WHO ARE YOU SEEING
44,ham,Great I hope you like your man well endowed I am let inches
45,ham,No callsmessagesmissed calls
46,ham,didn't you get hep b immunization in nigeria
47,ham,Fair enough anything going on
48,ham,Yeah hopefully if taler cant do it I could maybe ask around a bit
